Date,Open,High,Low,Close,Adj Close,Volume
2023-11-14,8.390000,8.481000,8.390000,8.395000,8.395000,23000
2023-11-15,8.395000,8.480000,8.390000,8.420000,8.420000,6600
2023-11-16,8.285000,8.425000,8.285000,8.352500,8.352500,8400
2023-11-17,8.540000,8.555000,8.315000,8.553000,8.553000,8200
2023-11-20,8.532500,8.794500,8.280000,8.775000,8.775000,9800
2023-11-21,8.750000,8.815000,8.490000,8.500000,8.500000,16000
2023-11-22,8.560000,8.560000,8.515000,8.530000,8.530000,6600
2023-11-24,8.325000,8.375000,8.325000,8.375000,8.375000,2600
2023-11-27,8.150000,8.287500,8.035000,8.175000,8.175000,23800
2023-11-28,8.126500,8.325000,8.100000,8.305000,8.305000,32600
2023-11-29,8.585000,8.585000,8.075000,8.300000,8.300000,5000
2023-11-30,8.275000,8.344000,8.275000,8.311000,8.311000,5400
2023-12-01,8.275000,8.345000,8.134000,8.345000,8.345000,8400
2023-12-04,8.250000,8.345000,8.170000,8.270000,8.270000,19200
2023-12-05,8.185000,8.240000,8.180000,8.180000,8.180000,23200
2023-12-06,8.080000,8.320000,8.080000,8.255000,8.255000,12000
2023-12-07,8.330000,8.695000,8.330000,8.632500,8.632500,27200
2023-12-08,8.325000,8.380000,8.325000,8.350000,8.350000,14000
2023-12-11,8.495000,8.495000,8.230000,8.255000,8.255000,41600
2023-12-12,8.080000,8.125000,8.065500,8.075000,8.075000,16800
2023-12-13,7.992500,8.165000,7.976000,8.127000,8.127000,17400
2023-12-14,7.970000,7.975000,7.930000,7.965000,7.965000,16000
2023-12-15,8.005000,8.101500,8.005000,8.045000,8.045000,21600
2023-12-18,7.925000,7.945000,7.915000,7.945000,7.945000,25600
2023-12-19,8.112500,8.120000,8.090000,8.090000,8.090000,18400
2023-12-20,7.923000,7.962500,7.855000,7.855000,7.855000,10000
2023-12-21,8.008000,8.040000,8.000000,8.020000,8.020000,11000
2023-12-22,7.910000,7.940000,7.885000,7.905000,7.905000,22400
2023-12-26,7.938000,7.939500,7.897500,7.912000,7.912000,23600
2023-12-27,8.060000,8.185000,7.995000,8.045000,8.045000,19400
2023-12-28,8.125000,8.125000,8.050000,8.050000,8.050000,6200
2023-12-29,7.995000,8.035000,7.995000,8.035000,8.035000,8400
2024-01-02,8.000000,8.010000,7.730000,7.985000,7.985000,20000
2024-01-03,7.875000,7.889000,7.780000,7.805000,7.805000,23600
2024-01-04,8.000000,8.230000,8.000000,8.190000,8.190000,14600
2024-01-05,8.265000,8.355000,8.265000,8.265000,8.265000,17800
2024-01-08,8.291000,8.394000,8.291000,8.376000,8.376000,12200
2024-01-09,8.500000,8.660000,8.500000,8.660000,8.660000,6600
2024-01-10,9.120000,9.120000,9.070500,9.080000,9.080000,10200
2024-01-11,9.137500,9.180000,9.121000,9.165000,9.165000,7200
2024-01-12,9.340000,9.500000,9.340000,9.485000,9.485000,169800
2024-01-16,9.195000,9.200000,9.140000,9.145000,9.145000,20800
2024-01-17,8.990000,8.990000,8.870000,8.902500,8.902500,6200
2024-01-18,9.125000,9.141000,9.105000,9.141000,9.141000,15400
2024-01-19,9.217000,9.288000,9.190000,9.288000,9.288000,30000
2024-01-22,9.495000,9.520000,9.480000,9.515000,9.515000,11600
2024-01-23,9.443000,9.475000,9.443000,9.475000,9.475000,6800
2024-01-24,9.505000,9.505000,9.415000,9.439000,9.439000,17200
2024-01-25,9.465000,9.510000,9.375000,9.395000,9.395000,10800
2024-01-26,9.379000,9.379000,9.315000,9.325000,9.325000,5600
2024-01-29,9.336000,9.405000,9.330000,9.405000,9.405000,5400
2024-01-30,9.387500,9.390000,9.365000,9.377000,9.377000,11000
